,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,170644.11840427,128708.5813054,175.21683428,0.0,5.33076316,133718.74212471,1102,-0.5246803010300779,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,2.11821741,0,0,0,2.7604672,0.00013372,0,0,132131.5541784,-0.44672828,0,6,0,18,0,42470.77132094,7,-1,1302,0,132271.98887556,0,0.0,2025-03-10 00:49:18.499000+00:00,447,marketContext_1741567758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
98,170644.11840427,129014.62604288,186.8756503,0.0,12.62624197,139226.07417676,1103,4.236229245143307,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,7.82205685,0,0,0,6.99275361,0.00013923,0,0,133142.60253816,4.85909093,0,6,0,18,0,42470.77132094,5,-1,1302,0,132676.00055868,0,0.0,2025-03-10 00:49:19.634000+00:00,447,marketContext_1741567759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
97,170644.11840427,129398.84029137,186.5423109,0.0,16.40163198,139064.29838128,1104,-0.11619647859559147,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,5.89923777,0,0,0,6.33448371,0.00013906,0,0,134063.07380473,6.41004501,0,5,0,17,0,42470.77132094,4,-1,1301,0,132921.70432109,0,0.0,2025-03-10 00:49:20.501000+00:00,447,marketContext_1741567760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
96,170644.11840427,129801.11181669,185.15073904,0.0,17.40503021,138388.94274685,1105,-0.4856427151264678,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,5.38494584,0,0,0,5.49783319,0.00013839,0,0,134864.39549953,2.94954996,0,3,0,18,0,42470.77132094,7,-1,1301,0,133193.6804613,0,0.0,2025-03-10 00:49:21.500000+00:00,447,marketContext_1741567761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013906,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
95,170644.11840427,130112.80821878,181.87731574,0.0,13.14807312,136800.28970425,1106,-1.1479624101926014,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,5.47819622,0,0,0,4.28675772,0.0001368,0,0,135489.2001896,1.76772782,0,0,0,15,0,42470.77132094,4,-3,1298,0,133466.94832332,0,0.0,2025-03-10 00:49:22.501000+00:00,447,marketContext_1741567762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013839,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
94,170644.11840427,130290.62792953,187.15043683,0.0,13.64947707,139359.43317752,1107,1.8707149515532588,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,10.6372696,0,0,0,3.75275221,0.00013936,0,0,136049.27253013,4.21832494,0,-5,0,22,0,42470.77132094,4,-3,1298,0,133685.1885031,0,0.0,2025-03-10 00:49:23.501000+00:00,447,marketContext_1741567763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001368,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
93,170644.11840427,130612.19518084,187.11791121,0.0,13.63660395,139343.64789074,1108,-0.01132703141499198,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,10.62473768,0,0,0,4.9476424,0.00013934,0,0,136779.18415751,0.08444806,0,-2,0,25,0,42470.77132094,7,3,1301,0,134180.85478206,0,0.0,2025-03-10 00:49:24.502000+00:00,447,marketContext_1741567764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
92,170644.11840427,130612.19518084,187.11791121,0.0,13.63660395,139343.64789074,1109,-0.01132703141499198,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,10.62473768,0,0,0,4.9476424,0.00013934,0,0,136779.18415751,0.08444806,0,-1,0,25,0,42470.77132094,7,3,1301,0,134180.85478206,0,0.0,2025-03-10 00:49:25.500000+00:00,447,marketContext_1741567765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
91,170644.11840427,131157.63848399,185.12061023,0.0,15.9010518,138374.32067517,1110,-0.6956378925352769,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,9.06611919,0,0,0,2.93867238,0.00013837,0,0,137633.30971692,-0.01056592,0,-5,0,21,0,42470.77132094,3,-4,1297,0,135049.49337528,0,0.0,2025-03-10 00:49:26.502000+00:00,447,marketContext_1741567766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013934,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
90,170644.11840427,131593.95814207,192.31650693,0.0,18.60337668,141866.62281776,1111,2.5238079764712835,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,11.78133509,0,0,0,5.53664681,0.00014187,0,0,138460.26352167,3.70345204,0,-4,0,20,0,42470.77132094,-3,-4,1297,0,135624.57845295,0,0.0,2025-03-10 00:49:27.501000+00:00,447,marketContext_1741567767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013837,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
89,170644.11840427,132046.99998868,192.31650693,0.0,19.45507289,141866.62281776,1112,0.0,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,11.72346716,0,0,0,6.09329744,0.00014187,0,0,139365.58359868,1.7990814,0,-4,0,20,0,42470.77132094,-3,0,1297,0,136197.13521554,0,0.0,2025-03-10 00:49:28.501000+00:00,447,marketContext_1741567768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
88,170644.11840427,132274.54576072,196.46379807,0.0,21.74306412,143879.38013442,1113,1.4187673440624238,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,1.29707908,0,0,0,3.34226616,0.00014388,0,0,139816.96325225,3.25506926,0,-1,0,25,0,42470.77132094,0,0,1297,0,136481.66280513,0,0.0,2025-03-10 00:49:29.502000+00:00,447,marketContext_1741567769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
87,170644.11840427,132739.21448011,193.30341647,0.0,20.44525122,142345.58832207,1114,-1.0660261469880117,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,0.21722573,0,0,0,2.35954877,0.00014235,0,0,140247.20536517,2.86994554,0,4,0,30,0,42470.77132094,5,0,1302,0,136493.09025028,0,0.0,2025-03-10 00:49:30.503000+00:00,447,marketContext_1741567770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
86,170644.11840427,132974.53368313,186.64196346,0.0,9.64452889,139112.66161735,1115,-2.2711815257657517,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,-1.7563751,0,0,0,0.52296004,0.00013911,0,0,140327.61857301,0.53358234,0,1,0,28,0,42470.77132094,7,0,1302,0,136400.97833975,0,0.0,2025-03-10 00:49:31.503000+00:00,447,marketContext_1741567771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014235,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
85,170644.11840427,133324.93272698,189.70815247,0.0,14.88866793,140600.74001907,1116,1.069692998765952,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,4.12958587,0,0,0,2.77810107,0.0001406,0,0,140749.89083021,-0.89230488,0,3,0,30,0,42470.77132094,9,2,1304,0,136607.49552739,0,0.0,2025-03-10 00:49:32.504000+00:00,447,marketContext_1741567772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013911,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
84,170644.11840427,133324.93272698,189.70815247,0.0,14.88866793,140600.74001907,1117,1.069692998765952,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,4.12958587,0,0,0,2.77810107,0.0001406,0,0,140749.89083021,-0.89230488,0,7,0,29,0,42470.77132094,9,2,1304,0,136607.49552739,0,0.0,2025-03-10 00:49:33.502000+00:00,447,marketContext_1741567773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
83,170644.11840427,133815.7550474,198.42013124,0.0,13.89725647,144828.82490766,1118,3.007156923933104,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,7.09016895,0,0,0,3.93643851,0.00014483,0,0,141609.34516391,0.6598894,0,7,0,29,0,42470.77132094,9,0,1304,0,137048.21059283,0,0.0,2025-03-10 00:49:34.501000+00:00,447,marketContext_1741567774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001406,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
82,170644.11840427,134166.94874489,199.63722467,0.0,14.36178144,145419.50292278,1119,0.4078456174074097,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,6.50121965,0,0,0,5.09139428,0.00014542,0,0,142032.69602601,2.15947304,0,2,0,25,0,42470.77132094,11,0,1304,0,137389.6310708,0,0.0,2025-03-10 00:49:35.503000+00:00,447,marketContext_1741567775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014483,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
81,170644.11840427,134166.94874489,199.63722467,0.0,14.36178144,145419.50292278,1120,0.4078456174074097,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,6.50121965,0,0,0,5.09139428,0.00014542,0,0,142032.69602601,2.15947304,0,5,0,28,0,42470.77132094,14,0,1307,0,137389.6310708,0,0.0,2025-03-10 00:49:36.502000+00:00,447,marketContext_1741567776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014542,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
80,170644.11840427,134575.39575822,194.54830244,0.0,10.89812705,142949.75457516,1121,-1.6983611537541003,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,4.92900699,0,0,0,0.76348597,0.00014295,0,0,142625.38441453,1.67069857,0,5,0,24,0,42470.77132094,11,0,1307,0,137704.42769969,0,0.0,2025-03-10 00:49:37.501000+00:00,447,marketContext_1741567777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014542,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
79,170644.11840427,134789.49810411,192.86573799,0.0,8.3216908,142133.17484044,1122,-0.5712354925999646,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,9.22680859,0,0,0,0.18788917,0.00014213,0,0,142658.70341737,-1.86126627,0,5,0,24,0,42470.77132094,11,0,1307,0,137874.76412818,0,0.0,2025-03-10 00:49:38.503000+00:00,447,marketContext_1741567778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014295,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
78,170644.11840427,134901.41626131,188.8218563,0.0,4.24491157,140170.6040489,1123,-1.3807971247690822,0,22ZVXW1o46n5hCZ7LHdKL3UjJYWeZ4eWhknSuNU6L16V,7.71860796,0,0,0,-2.57769813,0.00014017,0,0,142195.10640668,-3.21636308,0,3,0,19,0,42470.77132094,11,0,1307,0,138261.07047856,0,0.0,2025-03-10 00:49:39.503000+00:00,447,marketContext_1741567779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014213,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1102
