,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,52022.53109238,2733.30629899,-94.39540094,0.0,-5.89345534,2740.47981664,1100,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.5277673,2.74e-06,0,0,2735.68400857,0.0,0,1,0,0,0,2722.20980384,1,0,106,0,2729.06910089,0,0.0,2025-03-10 05:45:46.650000+00:00,421,marketContext_1741585546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
98,52022.53109238,2730.39742596,-94.39540094,0.0,-5.89345534,2740.47981664,1101,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.5277673,2.74e-06,0,0,2737.28261126,0.0,0,1,0,0,0,2722.20980384,1,0,106,0,2729.56521897,0,0.0,2025-03-10 05:45:47.651000+00:00,421,marketContext_1741585547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
97,52022.53109238,2730.39742596,-94.39540094,0.0,-5.89345534,2740.47981664,1102,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.5277673,2.74e-06,0,0,2737.28261126,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2729.56521897,0,0.0,2025-03-10 05:45:48.650000+00:00,421,marketContext_1741585548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
96,52022.53109238,2727.55235288,-94.39540094,0.0,0.61281055,2740.47981664,1103,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.5277673,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2730.20308506,0,0.0,2025-03-10 05:45:49.652000+00:00,421,marketContext_1741585549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
95,52022.53109238,2727.84014014,-94.39540094,0.0,0.61281055,2740.47981664,1104,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2730.71692164,0,0.0,2025-03-10 05:45:50.824000+00:00,421,marketContext_1741585550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
94,52022.53109238,2728.1279274,-94.39540094,0.0,0.61281055,2740.47981664,1105,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2731.23075822,0,0.0,2025-03-10 05:45:51.835000+00:00,421,marketContext_1741585551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
93,52022.53109238,2728.41571466,-94.39540094,0.0,0.61281055,2740.47981664,1106,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2731.7445948,0,0.0,2025-03-10 05:45:52.881000+00:00,421,marketContext_1741585552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
92,52022.53109238,2728.70350192,-94.39540094,0.0,0.61281055,2740.47981664,1108,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2732.25843138,0,0.0,2025-03-10 05:45:54.129000+00:00,421,marketContext_1741585554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
91,52022.53109238,2728.99128918,-94.39540094,0.0,0.61281055,2740.47981664,1109,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2732.77226796,0,0.0,2025-03-10 05:45:55.192000+00:00,421,marketContext_1741585555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
90,52022.53109238,2729.27907644,-94.39540094,0.0,0.61281055,2740.47981664,1110,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2733.28610454,0,0.0,2025-03-10 05:45:56.193000+00:00,421,marketContext_1741585556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
89,52022.53109238,2729.66824455,-94.39540094,0.0,0.61281055,2740.47981664,1111,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2733.79994111,0,0.0,2025-03-10 05:45:57.247000+00:00,421,marketContext_1741585557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
88,52022.53109238,2729.96108071,-94.39540094,0.0,0.61281055,2740.47981664,1112,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2734.31377769,0,0.0,2025-03-10 05:45:58.262000+00:00,421,marketContext_1741585558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
87,52022.53109238,2730.25391687,-94.39540094,0.0,0.61281055,2740.47981664,1113,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,0,0,2722.20980384,1,0,106,0,2734.82761427,0,0.0,2025-03-10 05:45:59.382000+00:00,421,marketContext_1741585559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
86,52022.53109238,2730.54675303,-94.39540094,0.0,0.61281055,2740.47981664,1114,0.0,0,2EucoPwWTC3djUkH7U1cAJQ6XvPPg1mgeeAd7AiDscGK,0.5277673,0,0,0,0.0,2.74e-06,0,0,2740.47981664,0.0,0,0,0,1,0,2722.20980384,1,0,106,0,2735.34145085,0,0.0,2025-03-10 05:46:00.383000+00:00,421,marketContext_1741585560,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1100
