,athMarketCap,maMarketCap60s,priceChangeFromStart,tradeLast5Seconds,marketCapChange60s,marketCap,timeFromStart,priceChangePercent,buyVolume10s,poolAddress,marketCapChange30s,superBuy5s,largeBuy10s,bigBuy5s,marketCapChange10s,currentPrice,largeBuy5s,netVolume5s,maMarketCap10s,marketCapChange5s,buyVolume5s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,netVolume10s,minMarketCap,holderDelta30s,holderDelta5s,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,tradeLast10Seconds,timestamp,initialHoldersCount,doc_id,tradeLast5Seconds.volume.buy,tradeLast5Seconds.volume.sell,tradeLast5Seconds.tradeCount.buy.large,tradeLast5Seconds.tradeCount.buy.medium,tradeLast5Seconds.tradeCount.buy.super,tradeLast5Seconds.tradeCount.buy.small,tradeLast5Seconds.tradeCount.sell.large,tradeLast5Seconds.tradeCount.sell.medium,tradeLast5Seconds.tradeCount.sell.super,tradeLast5Seconds.tradeCount.sell.small,lastPrice,totalVolume,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.small,trade_last5Seconds.tradeCount.buy.medium,trade_last5Seconds.tradeCount.buy.large,trade_last5Seconds.tradeCount.buy.big,trade_last5Seconds.tradeCount.buy.super,trade_last5Seconds.tradeCount.sell.small,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.buy,trade_last10Seconds.volume.sell,trade_last10Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,trade_last10Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.small,trade_last10Seconds.tradeCount.sell.medium,trade_last10Seconds.tradeCount.sell.large,trade_last10Seconds.tradeCount.sell.big,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.tradeCount.bot,trade_last10Seconds.tradeCount.bot,creationTime
99,275948.0816746,230459.96924332,396.04148642,0.0,31.33842993,270960.00835306,1079,11.354552091529438,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,23.48774449,0,0,0,1.21863926,0.00027096,0,0,266340.70299872,-1.80761297,0,0,0,37,0,54690.78857902,11,0,2527,0,250408.23270505,0,0.0,2025-03-06 19:19:36.304000+00:00,41,marketContext_1741288776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
98,275948.0816746,231458.43611699,377.75714616,0.0,21.20698459,260972.28529965,1080,-3.686050614669686,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,13.80011119,0,0,0,-3.4976376,0.00026097,0,0,266160.3962811,0.82031655,0,0,0,37,0,54690.78857902,11,0,2527,0,252844.11434394,0,0.0,2025-03-06 19:19:37.471000+00:00,41,marketContext_1741288777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027096,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
97,275948.0816746,232756.35353019,382.04297544,0.0,22.71981069,263313.39661426,1081,0.897072772276774,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,14.82098101,0,0,0,-3.49304194,0.00026331,0,0,264188.80509549,8.21207719,0,0,0,37,0,54690.78857902,11,0,2527,0,254151.35427376,0,0.0,2025-03-06 19:19:38.768000+00:00,41,marketContext_1741288778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
96,275948.0816746,233355.51123772,382.04297544,0.0,29.41944108,263313.39661426,1082,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,13.06039428,0,0,0,-4.57864573,0.00026331,0,0,264079.37903533,-2.8220444,0,0,0,37,0,54690.78857902,11,0,2527,0,255458.59420357,0,0.0,2025-03-06 19:19:39.841000+00:00,41,marketContext_1741288779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
95,275948.0816746,234471.52956798,376.66244219,0.0,27.40761533,260374.30911001,1084,-1.1161936848041039,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,11.7984213,0,0,0,-5.64373286,0.00026037,0,0,262132.65746476,-3.9067386,0,0,0,51,0,54690.78857902,14,0,2541,0,256515.4433762,0,0.0,2025-03-06 19:19:41.113000+00:00,41,marketContext_1741288781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026331,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
94,275948.0816746,235707.5054794,389.52057348,0.0,30.84447903,267397.99454172,1085,2.697533967816905,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,14.81422169,0,0,0,3.30273356,0.0002674,0,0,261063.89657315,2.46221902,0,0,0,50,0,54690.78857902,14,0,2541,0,257842.43429621,0,0.0,2025-03-06 19:19:42.206000+00:00,41,marketContext_1741288782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026037,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
93,275948.0816746,236943.48139082,389.52057348,0.0,31.23671854,267397.99454172,1086,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,13.31481108,0,0,0,3.30273356,0.0002674,0,0,262132.53277834,1.55123058,0,0,0,50,0,54690.78857902,14,0,2541,0,259050.89665493,0,0.0,2025-03-06 19:19:43.258000+00:00,41,marketContext_1741288783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
92,275948.0816746,238191.43376425,389.52057348,0.0,35.73372197,267397.99454172,1087,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,13.31481108,0,0,0,9.89069602,0.0002674,0,0,265140.92245205,1.55123058,0,0,0,50,0,54690.78857902,14,0,2541,0,259360.04842851,0,0.0,2025-03-06 19:19:44.335000+00:00,41,marketContext_1741288784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
91,275948.0816746,239390.32640498,372.5820421,0.0,29.53104179,258145.41238755,1088,-3.4602287014270927,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,5.13147208,0,0,0,-4.72933111,0.00025815,0,0,263539.09795636,-0.85603558,0,0,0,50,0,54690.78857902,14,0,2541,0,259316.66856991,0,0.0,2025-03-06 19:19:45.574000+00:00,41,marketContext_1741288785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002674,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
90,275948.0816746,240410.05394656,360.0473796,0.0,24.97892228,251298.42005464,1089,-2.6523780800844174,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,1.69063588,0,0,0,-3.7068554,0.0002513,0,0,262179.02263395,-6.02082843,0,0,0,50,0,54690.78857902,14,0,2541,0,261136.34639555,0,0.0,2025-03-06 19:19:46.844000+00:00,41,marketContext_1741288786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025815,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
89,275948.0816746,241397.83977912,360.32435928,0.0,23.86677168,251449.71872234,1091,0.06020677236037177,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,2.99065556,0,0,0,-3.6488804,0.00025145,0,0,261120.95968091,-5.96424661,0,0,0,50,0,54690.78857902,14,0,2541,0,261428.41153331,0,0.0,2025-03-06 19:19:48.027000+00:00,41,marketContext_1741288788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002513,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
88,275948.0816746,242347.83153783,360.32435928,0.0,23.9454527,251449.71872234,1092,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,3.17667854,0,0,0,-4.50553525,0.00025145,0,0,259802.77324848,-5.96424661,0,0,0,50,0,54690.78857902,14,0,2541,0,261738.08419842,0,0.0,2025-03-06 19:19:49.190000+00:00,41,marketContext_1741288789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
87,275948.0816746,243498.26755336,378.80287778,0.0,28.92091901,261543.51059773,1093,4.014238682258324,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,2.24107053,0,0,0,-0.6721595,0.00026154,0,0,259606.11924664,1.31635042,0,0,0,56,0,54690.78857902,17,0,2558,0,261967.40005001,0,0.0,2025-03-06 19:19:50.366000+00:00,41,marketContext_1741288790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025145,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
86,275948.0816746,244648.70356889,378.80287778,0.0,33.96573024,261543.51059773,1094,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,2.36362626,0,0,0,0.44904641,0.00026154,0,0,259736.03052305,4.0768623,0,0,0,56,0,54690.78857902,17,0,2558,0,262208.96675939,0,0.0,2025-03-06 19:19:51.538000+00:00,41,marketContext_1741288791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
85,275948.0816746,245948.93605609,378.80287778,0.0,33.96573024,261543.51059773,1095,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,2.36362626,0,0,0,-2.18942702,0.00026154,0,0,259085.53230705,4.01423868,0,0,0,56,0,54690.78857902,17,0,2558,0,262450.53346877,0,0.0,2025-03-06 19:19:52.674000+00:00,41,marketContext_1741288792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
84,275948.0816746,247020.5327556,357.45635262,0.0,18.27677749,249883.08542563,1096,-4.458311791199438,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,-3.34386825,0,0,0,-6.55012733,0.00024988,0,0,257139.43129416,-0.62304039,0,0,0,56,0,54690.78857902,17,0,2558,0,262104.74015005,0,0.0,2025-03-06 19:19:53.797000+00:00,41,marketContext_1741288793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026154,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
83,275948.0816746,247777.65642741,357.45635262,0.0,18.27677749,249883.08542563,1098,0.0,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,-6.65476417,0,0,0,-3.20064838,0.00024988,0,0,255193.33028126,-4.45831179,0,0,0,56,0,54690.78857902,17,0,2558,0,261758.94683132,0,0.0,2025-03-06 19:19:55.132000+00:00,41,marketContext_1741288795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
82,275948.0816746,249465.51145827,374.83851396,0.0,22.64133802,259377.99807299,1099,3.7997420398370556,0,28gUVEq49NhDQ762ARrMe9QroGDgiY9zhMkVXVFLWtVu,-0.64342302,0,0,0,3.21513284,0.00025938,0,0,255330.28424631,-0.8279741,0,0,0,68,0,54690.78857902,29,0,2570,0,261441.5094507,0,0.0,2025-03-06 19:19:56.743000+00:00,41,marketContext_1741288796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024988,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1079
