,athMarketCap,maMarketCap60s,priceChangeFromStart,timeFromStart,trade_last5Seconds.tradeCount.buy.small,marketCap,marketCapChange60s,trade_last10Seconds.tradeCount.buy.medium,priceChangePercent,trade_last5Seconds.tradeCount.sell.super,trade_last10Seconds.volume.bot,trade_last5Seconds.tradeCount.buy.super,trade_last10Seconds.tradeCount.sell.super,trade_last5Seconds.volume.buy,trade_last5Seconds.volume.sell,trade_last5Seconds.tradeCount.buy.large,largeBuy10s,marketCapChange10s,trade_last10Seconds.volume.buy,largeBuy5s,maMarketCap10s,netVolume10s,holderDelta10s,holdersGrowthFromStart,holderDelta60s,trade_last10Seconds.tradeCount.buy.super,holderDelta5s,trade_last10Seconds.tradeCount.sell.large,trade_last5Seconds.tradeCount.buy.big,trade_last10Seconds.tradeCount.buy.large,trade_last10Seconds.tradeCount.sell.big,trade_last5Seconds.tradeCount.sell.small,originalTimestamp,trade_last10Seconds.tradeCount.bot,trade_last5Seconds.tradeCount.sell.big,initialHoldersCount,trade_last10Seconds.volume.sell,trade_last10Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.sell.large,buyVolume10s,creationTime,poolAddress,marketCapChange30s,superBuy5s,bigBuy5s,netVolume5s,currentPrice,trade_last5Seconds.tradeCount.sell.medium,trade_last5Seconds.tradeCount.buy.medium,trade_last10Seconds.tradeCount.sell.small,marketCapChange5s,buyVolume5s,trade_last5Seconds.volume.bot,trade_last10Seconds.tradeCount.buy.small,minMarketCap,holderDelta30s,trade_last10Seconds.tradeCount.buy.big,holdersCount,superBuy10s,maMarketCap30s,bigBuy10s,trade_last5Seconds.tradeCount.bot,timestamp,doc_id,lastPrice,totalVolume
99,286494.61280158936,29346.566996494777,-68.4044339267963,1102,1,27324.301221011705,4.026069984180775,0,-7.0129563987706645,0,0,0,0,0.043789295,0.0667039,0,0,-7.14096492901953,0.343789295,0,29209.03980574243,0.268116955,-5,0,-17,0,-3,0,0,0,0,4,2025-02-01 15:55:23.446000+00:00,0,0,199,0.07567234,0,0,0.343789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-13.268036652236624,0,0,-0.022914605,2.7324301221e-05,0,0,6,-7.100953658416197,0.043789295,0,2,25622.90844059368,-8,0,487,0,30033.48850903254,0,0,2025-02-01 15:55:23.446000+00:00,marketContext_0000001099,2.7324301221e-05,0.022914605
98,286494.61280158936,29365.429683926573,-68.4044339267963,1103,1,27324.301221011705,4.170891359456494,0,0.0,0,0,0,0,0.043789295,0.049344522,0,0,-7.14096492901953,0.343789295,0,28998.91283578193,0.268116955,-5,0,-17,0,-3,0,0,0,0,2,2025-02-01 15:55:24.445000+00:00,0,0,199,0.07567234,0,0,0.343789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-13.268036652236624,0,0,-0.005555227,2.7324301221e-05,0,0,6,-7.100953658416197,0.043789295,0,2,25622.90844059368,-8,0,487,0,29884.202702795435,0,0,2025-02-01 15:55:24.445000+00:00,marketContext_0000001100,2.7324301221e-05,0.028469832
97,286494.61280158936,29384.486119108293,-68.41815979065184,1104,1,27312.430895990827,4.217447977650968,0,-0.04344237360312084,0,0,0,0,0.043789295,1.723920141,0,0,-7.181305097959318,0.043789295,0,28787.598833319345,-1.706458664,-5,0,-16,0,-4,0,0,0,0,3,2025-02-01 15:55:25.449000+00:00,0,0,199,1.750247959,1,0,0.043789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-14.168851017308995,0,0,-1.680130846,2.73124308959e-05,1,0,7,-7.163460403417648,0.043789295,0,1,25622.90844059368,-9,0,486,0,29723.178175955505,0,0,2025-02-01 15:55:25.449000+00:00,marketContext_0000001101,2.7324301221e-05,1.708600678
96,286494.61280158936,29403.338493670683,-68.43184540413796,1105,0,27300.59538006993,4.172286590534905,0,-0.043333806375443054,0,0,0,0,0.0,1.681662692,0,0,-7.211580511319745,0.043789295,0,28575.41670684789,-1.706596779,-5,0,-16,0,-1,0,0,0,0,3,2025-02-01 15:55:26.451000+00:00,0,0,199,1.750386074,1,0,0.043789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-13.863422286074892,0,0,-1.681662692,2.730059538e-05,1,0,7,-7.290785392771843,0.0,0,1,25622.90844059368,-9,0,486,0,29566.251445481943,0,0,2025-02-01 15:55:26.451000+00:00,marketContext_0000001102,2.73124308959e-05,3.39026337
95,286494.61280158936,29411.1139527225,-68.75951984548188,1106,0,27017.217797374826,1.697555262256829,0,-1.0379904861048603,0,0,0,0,0.0,1.771782668,0,0,-8.149103675091038,0.043789295,0,28335.71723993739,-1.794697273,-6,0,-18,0,-3,0,0,0,0,3,2025-02-01 15:55:27.450000+00:00,0,0,199,1.838486568,1,0,0.043789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-14.418718647705257,0,0,-1.771782668,2.70172177973e-05,1,0,7,-8.057988784849737,0.0,0,1,25622.90844059368,-8,0,484,0,29403.685162666745,0,0,2025-02-01 15:55:27.450000+00:00,marketContext_0000001103,2.730059538e-05,5.162046038
94,286494.61280158936,29410.937173034108,-68.95223475801,1107,0,26850.55516162718,-0.0381716803911732,0,-0.6168756420353502,0,0,0,0,0.0,2.047636596,0,0,-8.711628228606578,0.043789295,0,28079.483012334385,-2.070551201,-6,0,-18,0,-2,0,0,0,0,4,2025-02-01 15:55:28.507000+00:00,0,0,199,2.114340496,1,0,0.043789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-8.6300574243236,0,0,-2.047636596,2.68505551616e-05,1,0,8,-1.7337902095012199,0.0,0,1,25622.90844059368,-8,0,484,0,29315.646197113656,0,0,2025-02-01 15:55:28.507000+00:00,marketContext_0000001104,2.70172177973e-05,7.209682634
93,286494.61280158936,29379.91615556729,-71.06766244727784,1108,0,25021.102786604028,-6.708416947841595,0,-6.813462008553431,0,0,0,0,0.0,1.905254301,0,0,-14.931526757477483,0.043789295,0,27640.303547229065,-3.585385147,-8,0,-18,0,-4,0,0,0,0,3,2025-02-01 15:55:29.509000+00:00,0,0,199,3.629174442,2,0,0.043789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-14.855513748954396,0,0,-1.905254301,2.50211027866e-05,1,0,6,-8.429121080822265,0.0,0,1,25021.102786604028,-8,0,482,0,29165.11046628124,0,0,2025-02-01 15:55:29.509000+00:00,marketContext_0000001105,2.68505551616e-05,9.114936935
92,286494.61280158936,29347.854271511736,-71.06766244727784,1109,0,25021.102786604028,-6.917936751572954,0,0.0,0,0,0,0,0.0,1.905254301,0,0,-14.95181778419823,0.043789295,0,27200.422341213714,-3.585385147,-8,0,-18,0,-2,0,0,0,0,3,2025-02-01 15:55:30.520000+00:00,0,0,199,3.629174442,2,0,0.043789295,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-14.855513748954396,0,0,-1.905254301,2.50211027866e-05,1,0,6,-8.389323228358782,0.0,0,1,25021.102786604028,-8,0,482,0,29014.574735448827,0,0,2025-02-01 15:55:30.520000+00:00,marketContext_0000001106,2.50211027866e-05,11.020191235999999
91,286494.61280158936,29315.79238745618,-71.06766244727784,1110,0,25021.102786604028,-6.917936751572954,0,0.0,0,0,0,0,0.0,1.808047252,0,0,-15.031641044494858,0.0,0,26757.77729045712,-3.58428849,-5,0,-19,0,-2,0,0,0,0,1,2025-02-01 15:55:31.522000+00:00,0,0,199,3.58428849,2,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-14.22042883538584,0,0,-1.808047252,2.50211027866e-05,1,0,5,-8.349607624784573,0.0,0,0,25021.102786604028,-10,0,482,0,28871.54139822099,0,0,2025-02-01 15:55:31.522000+00:00,marketContext_0000001107,2.50211027866e-05,12.828238487999998
90,286494.61280158936,29252.61267414721,-71.06766244727784,1111,0,25021.102786604028,-12.774468042418068,0,0.0,0,0,0,0,0.0,1.808047252,0,0,-14.85094689339528,0.0,0,26321.381282350227,-3.57982992,-5,0,-19,0,0,0,0,0,0,1,2025-02-01 15:55:32.525000+00:00,0,0,199,3.57982992,2,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-16.493790908616443,0,0,-1.808047252,2.50211027866e-05,1,0,4,-7.388307063078683,0.0,0,0,25021.102786604028,-10,0,482,0,28701.12547753029,0,0,2025-02-01 15:55:32.525000+00:00,marketContext_0000001108,2.50211027866e-05,14.636285739999998
89,286494.61280158936,29190.045336573283,-71.06766244727784,1112,0,25021.102786604028,-12.666333401871123,0,0.0,0,0,0,0,0.0,0.0,0,0,-8.429121080822265,0.0,0,26091.06143890946,-3.57982992,-4,0,-18,0,0,0,0,0,0,0,2025-02-01 15:55:33.525000+00:00,0,0,199,3.57982992,2,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-18.71234301250674,0,0,0.0,2.50211027866e-05,0,0,4,-6.813462008553431,0.0,0,0,25021.102786604028,-10,0,482,0,28578.458054499417,0,0,2025-02-01 15:55:33.525000+00:00,marketContext_0000001109,2.50211027866e-05,14.636285739999998
88,286494.61280158936,29127.75432806324,-71.06766244727784,1113,0,25021.102786604028,-12.617450777208708,0,0.0,0,0,0,0,0.0,0.111930601,0,0,-8.429121080822265,0.0,0,25860.74159546869,-2.017184902,-4,0,-18,0,0,0,0,0,0,2,2025-02-01 15:55:34.525000+00:00,0,0,199,2.017184902,1,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-18.71234301250674,0,0,-0.111930601,2.50211027866e-05,0,0,5,0.0,0.0,0,0,25021.102786604028,-10,0,482,0,28386.463568396743,0,0,2025-02-01 15:55:34.525000+00:00,marketContext_0000001110,2.50211027866e-05,14.748216340999997
87,286494.61280158936,29060.66851863472,-71.40184542797459,1114,0,24732.096525208453,-13.593847462439467,0,-1.1550500545895523,0,0,0,0,0.0,0.254860239,0,0,-9.447472400419484,0.0,0,25602.708158390455,-2.16011454,-3,0,-19,0,-1,0,0,0,0,3,2025-02-01 15:55:35.527000+00:00,0,0,199,2.16011454,1,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-19.627504896984625,0,0,-0.254860239,2.47320965252e-05,0,0,6,-1.1550500545895521,0.0,0,0,24732.096525208453,-12,0,481,0,28185.138747412053,0,0,2025-02-01 15:55:35.527000+00:00,marketContext_0000001111,2.50211027866e-05,15.003076579999997
86,286494.61280158936,28991.97073276524,-71.51119319205145,1115,0,24637.531001787924,-13.921009087271884,0,-0.3823595113505232,0,0,0,0,0.0,0.254860239,0,0,-9.754601836361807,0.0,0,25336.401720562255,-2.062907491,-3,0,-19,0,-1,0,0,0,0,3,2025-02-01 15:55:36.528000+00:00,0,0,199,2.062907491,1,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-20.270019407836937,0,0,-0.254860239,2.46375310017e-05,0,0,4,-1.5329931221954929,0.0,0,0,24637.531001787924,-12,0,481,0,27976.349352733367,0,0,2025-02-01 15:55:36.528000+00:00,marketContext_0000001112,2.47320965252e-05,15.257936818999996
85,286494.61280158936,28923.076423632345,-71.51119319205145,1116,0,24637.531001787924,-13.955275306862656,0,0.0,0,0,0,0,0.0,0.336384115,0,0,-8.808037946150495,0.0,0,25098.433041003565,-2.144431367,-1,0,-19,0,-1,0,0,0,0,4,2025-02-01 15:55:37.528000+00:00,0,0,199,2.144431367,1,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-20.76541299970002,0,0,-0.336384115,2.46375310017e-05,0,0,5,-1.5329931221954929,0.0,0,0,24637.531001787924,-12,0,481,0,27761.1198988994,0,0,2025-02-01 15:55:37.528000+00:00,marketContext_0000001113,2.46375310017e-05,15.594320933999995
84,286494.61280158936,28854.467053107615,-71.49208338207663,1117,0,24654.057441061672,-13.897557960211136,0,0.06707830939939248,0,0,0,0,0.0,0.336384115,0,0,-8.180455515141734,0.0,0,24878.783268947016,-0.336384115,-1,0,-19,0,0,0,0,0,0,4,2025-02-01 15:55:38.531000+00:00,0,0,199,0.336384115,0,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-20.71226377828063,0,0,-0.336384115,2.4654057441e-05,0,0,4,-1.466943118665678,0.0,0,0,24637.531001787924,-12,0,481,0,27546.44132637456,0,0,2025-02-01 15:55:38.531000+00:00,marketContext_0000001114,2.46375310017e-05,15.930705048999995
83,286494.61280158936,28785.857682582882,-71.49208338207663,1118,0,24654.057441061672,-13.897557960211136,0,0.0,0,0,0,0,0.0,0.224453514,0,0,-1.466943118665678,0.0,0,24842.07873439278,-0.336384115,-1,0,-17,0,0,0,0,0,0,2,2025-02-01 15:55:39.532000+00:00,0,0,199,0.336384115,0,0,0.0,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-20.71226377828063,0,0,-0.224453514,2.4654057441e-05,0,0,4,-1.466943118665678,0.0,0,0,24637.531001787924,-10,0,481,0,27331.76275384971,0,0,2025-02-01 15:55:39.532000+00:00,marketContext_0000001115,2.4654057441e-05,16.155158562999993
82,286494.61280158936,28718.80563262707,-71.49208338207663,1119,1,24654.057441061672,-13.62508669814098,0,0.0,0,0,0,0,0.014294261,0.081523876,0,0,-1.466943118665678,0.014294261,0,24805.374199838545,-0.322089854,-1,0,-17,0,0,0,0,0,0,1,2025-02-01 15:55:40.533000+00:00,0,0,199,0.336384115,0,0,0.014294261,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-20.71226377828063,0,0,-0.067229615,2.4654057441e-05,0,0,4,-0.3155376822471724,0.014294261,0,1,24637.531001787924,-10,0,481,0,27117.084181324873,0,0,2025-02-01 15:55:40.533000+00:00,marketContext_0000001116,2.4654057441e-05,16.222388177999992
81,286494.61280158936,28651.63420029742,-71.49386329710386,1120,1,24652.518144875638,-13.64677081926634,0,-0.006243581567524477,0,0,0,0,0.014294261,0.082851734,0,0,-1.4730951104430394,0.014294261,0,24768.515735665704,-0.323417712,-2,0,-16,0,-1,0,0,0,0,2,2025-02-01 15:55:41.533000+00:00,0,0,199,0.337711973,0,0,0.014294261,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-15.131070165719832,0,0,-0.068557473,2.46525181448e-05,0,0,5,0.0608305397429065,0.014294261,0,1,24637.531001787924,-12,0,480,0,26970.57631225344,0,0,2025-02-01 15:55:41.533000+00:00,marketContext_0000001117,2.4654057441e-05,16.29094565099999
80,286494.61280158936,28578.716298136384,-71.87925840803612,1121,2,24319.22289465541,-14.814242675811748,0,-1.3519724364933008,0,0,0,0,0.090524523,1.012219553,0,0,-2.8051517070798195,0.090524523,0,24698.32774647084,-1.258079145,-2,0,-16,0,0,0,0,0,0,3,2025-02-01 15:55:42.533000+00:00,0,0,199,1.348603668,1,0,0.090524523,2025-02-01T15:37:01.000Z,14ski1dVbGpJFWv95ZjbmD99pHmh2atq5FjQu7WRVvJm,-16.27847470422614,0,0,-0.92169503,2.43192228946e-05,1,0,7,-1.2919643088806885,0.090524523,0,2,24319.22289465541,-12,0,480,0,26812.958601508,0,0,2025-02-01 15:55:42.533000+00:00,marketContext_0000001118,2.46525181448e-05,17.21264068099999
